api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-001-00927,001-00927,"39.19985806450077","-80.1799645949846",WV,"001",,"THRASHER, H. WOOD, ET AL",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00927,,"4621453"
47-001-00936,001-00936,"39.09818346653568","-80.01794354117145",WV,"001",,"KINES, DAVID",BRAXTON OIL AND GAS CORP.,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00936,,"4621454"
47-001-00948,001-00948,"39.072982285621855","-80.0513267740852",WV,"001",,"STREET, W. O.",BRAXTON OIL AND GAS CORP.,,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00948,,"4621455"
47-001-00961,001-00961,"39.141434046096954","-79.9844113473888",WV,"001",,"SHAW, VIRGIL",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00961,,"4621456"
47-001-00968,001-00968,"39.23388816455745","-80.16020650564509",WV,"001",,"MOSESSO, J. & M.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00968,,"4621457"
47-001-00970,001-00970,"39.066306877972735","-80.02305291063408",WV,"001",,"MITCHELL, ISAAC",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00970,,"4621458"
47-001-00977,001-00977,"39.223452670930996","-79.96078520920256",WV,"001",,"MITCHELL, JOHN",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00977,,"4621459"
47-001-00980,001-00980,"39.23751230252941","-79.98689050456989",WV,"001",,"DECKER, JERRY W. & EVA F.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00980,,"4621460"
47-001-00990,001-00990,"39.099434252656906","-80.04661029341499",WV,"001",,"DAYTON, R. & R. A. CORLEY",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00990,,"4621461"
47-001-00994,001-00994,"39.21584511399749","-79.9635372195067",WV,"001",,"WILSON, DAVID & SHEILA",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00994,,"4621462"
47-001-00997,001-00997,"39.104017023886776","-80.13061175741834",WV,"001",,"CASTO, ENCIL W.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00997,,"4621463"
47-001-00999,001-00999,"39.16081120375155","-80.16486902573932",WV,"001",,"RILEY, M. D.",WV MINERAL GROUP LLC,,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00999,,"4621464"
47-101-00002,101-00002,"38.330107332355034","-80.45181505955588",WV,"101",,WV & PITTSBURGH RAILROAD,"HOPE GAS, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-101-00002,,"4621465"
47-101-00086,101-00086,"38.67142627081391","-80.40885253665472",WV,"101",,"WARE, NEIL O ET.AL","CHESAPEAKE APPALACHIA, L.L.C.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-101-00086,,"4621466"
47-101-00110,101-00110,"38.68550657081175","-80.2931333761004",WV,"101",,SUN LUMBER COMPANY,"CHESAPEAKE APPALACHIA, L.L.C.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-101-00110,,"4621467"
47-001-02368,001-02368,"39.179689702393574","-80.19218751446648",WV,"001",,"COMPTON, WILLIAM M.","PEPPER DEVELOPMENT, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-02368,,"4621468"
47-001-02405,001-02405,"39.239797487328445","-80.11002544600784",WV,"001",,"STUART, CAROLINE & GAIL",PETROLEUM DEVELOPMENT CORPORATION,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02405,,"4621469"
47-001-02411,001-02411,"39.182302264801194","-80.18976560161225",WV,"001",,"COMPTON, WILLIAM M.","PEPPER DEVELOPMENT, LLC",,,Oil Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-02411,,"4621470"
